stationIDX,lat,lon,name,url
6000,55.870766,-4.318448,"Glasgow Dumbarton Road, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/glasgow-dumbarton-road
6001,55.85917,-4.258889,"Glasgow Kerbside, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/glasgow-kerbside
6002,55.836256,-4.270768,"Glasgow Nithsdale Road, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/glasgow-nithsdale-road
6003,55.865782,-4.243631,"Glasgow Townhead, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/glasgow-townhead
6004,56.010319,-3.704399,"Grangemouth, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/grangemouth
6005,55.944079,-4.734421,"Inverclyde Greenock A8, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/inverclyde-greenock-a8
6006,55.84581,-3.947346,"N Lanarkshire Chapelhall, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/n-lanarkshire-chapelhall
6007,55.851944,-4.019444,"N Lanarkshire Coatbridge Whifflet, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/n-lanarkshire-coatbridge-whifflet
6008,55.957778,-4.039444,"N Lanarkshire Croy, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/n-lanarkshire-croy
6009,55.908941,-4.082339,"N Lanarkshire Moodiesburn, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/n-lanarkshire-moodiesburn
6010,55.788333,-3.986389,"N Lanarkshire Motherwell, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/n-lanarkshire-motherwell
6011,55.843523,-4.023222,"N Lanarkshire Shawhead Coatbridge, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/n-lanarkshire-shawhead-coatbridge
6012,55.614578,-4.666786,"North Ayrshire Irvine High St, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/north-ayrshire-irvine-high-st
6013,55.843583,-4.037413,"North Lanarkshire Kirkshaws, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/north-lanarkshire-kirkshaws
6014,55.841836,-4.423958,"Paisley Gordon Street, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/paisley-gordon-street
6015,55.848115,-4.426619,"Paisley St James St, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/paisley-st-james-st
6016,56.399327,-3.434182,"Perth Atholl Street, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/perth-atholl-street
6017,56.373126,-3.841475,"Perth Crieff, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/perth-crieff
6018,56.396597,-3.4324,"Perth High Street, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/perth-high-street
6019,56.41467,-3.44964,"Perth Muirton, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/perth-muirton
6020,55.470162,-4.633681,"South Ayrshire Ayr Harbour, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/south-ayrshire-ayr-harbour
